source_vertex_id,target_vertex_id,distance
314,3648,1.175603
315,3850,1.202511
316,3851,1.278575
317,3852,1.170003
318,3853,1.128668
319,3854,1.051371
320,3855,1.019863
321,3857,1.090331
322,3856,1.134413
323,3661,0.092610
324,324,0.201775
325,3858,0.545198
326,3859,0.585767
327,3860,0.520608
328,3861,0.465001
329,3862,0.375654
330,3863,0.422863
331,3864,0.363607
332,3865,0.337584
333,3866,0.274556
334,3867,0.328003
335,3868,0.285287
336,3869,0.338944
337,3870,0.311292
338,3871,0.366161
339,3872,0.403312
340,3873,0.402046
341,3874,0.449498
342,3875,0.419647
343,3876,0.452984
344,3877,0.426087
345,3878,0.468473
346,3879,0.482670
347,3880,0.425358
348,3881,0.410870
349,3882,0.558876
350,3883,0.434104
351,3884,0.643814
352,3885,0.465472
353,3886,0.731080
354,3887,0.823785
355,3888,0.894085
356,3889,0.914114
357,3890,0.988360
358,3929,0.910607
359,3930,0.507983
360,3931,0.821902
361,75,0.561153
362,78,0.223843
363,3652,0.187289
364,74,0.686958
365,3667,0.791792
366,3653,0.366904
367,47,0.213012
368,3651,0.190944
369,81,1.229760
370,46,1.163985
371,3898,0.538783
372,84,1.115933
373,88,0.367373
374,3675,0.717107
375,3676,0.661879
376,91,1.176831
377,3656,0.779135
378,3655,0.644015
379,3654,0.564016
380,169,1.070656
381,3905,1.004297
382,3910,1.404600
383,93,0.899318
384,3657,1.032857
385,3915,1.368724
386,3916,1.250683
387,3917,1.338085
388,3918,1.222563
389,3919,1.187187
390,3920,1.107657
391,3921,1.079430
392,3922,1.195624
393,4614,3.748863
394,4617,3.532030
395,4136,0.991701
396,4027,0.960345
397,3928,1.204035
398,3927,0.628587
399,4027,1.216748
400,4080,0.718142
401,4081,0.926971
402,3932,0.206926
403,3933,0.183231
404,3934,0.518126
405,3935,0.796105
406,3936,1.085889
407,3936,0.595415
408,3938,0.721461
409,3939,0.780919
410,3940,0.688346
411,3941,0.725809
412,3942,0.647999
413,3943,0.555871
414,3944,0.605473
415,3945,0.533115
416,3946,0.495020
417,3947,0.413135
418,3948,0.466849
419,3949,0.415340
420,3950,0.396195
421,3951,0.405068
422,3952,0.423654
423,3953,0.453519
424,3954,0.492294
425,3955,0.451198
426,3956,0.494640
427,3957,0.530379
428,3958,0.500138
429,3959,0.500129
430,3960,0.542300
431,3961,0.503134
432,3962,0.543599
433,3963,0.483130
434,3964,0.461391
435,3965,0.461037
436,3966,0.545190
437,3967,0.474748
438,3968,0.509354
439,3969,0.623777
440,3970,0.551519
441,3971,0.709824
442,3972,0.791243
443,3973,0.888603
444,3974,0.951352
445,3975,0.997546
446,3976,0.977531
447,3977,1.047181
448,3668,1.032356
449,3669,1.023789
450,3979,0.755134
451,3894,0.187171
452,3895,0.410305
453,3978,0.443552
454,3897,0.580211
455,3899,0.758800
456,3900,0.728024
457,3671,0.660483
458,3670,0.616587
459,3902,0.383802
460,3988,0.889009
461,3899,0.472406
462,3673,0.425038
463,3672,0.490963
464,3674,0.466415
465,3903,0.430341
466,3904,0.539228
467,3907,0.700094
468,3906,1.141872
469,3909,1.210658
470,3997,1.028068
471,3994,0.995580
472,3909,0.830206
473,4004,1.750821
474,106,1.435434
475,3911,1.297014
476,3912,1.381857
477,4007,1.713187
478,4008,1.550893
479,3683,0.988731
480,111,0.812050
481,3677,0.953017
482,4011,1.415921
483,4013,1.421870
484,4014,1.308253
485,4015,1.388802
486,4016,1.279790
487,4017,1.244087
488,4018,1.170603
489,4019,1.137889
490,4020,1.262816
491,4739,4.591577
492,4739,4.437099
493,4741,4.178854
494,4259,1.635107
495,4260,1.411255
496,4138,1.622439
497,4138,1.099330
498,4029,1.138071
499,4028,0.598674
500,4030,0.206778
501,4031,0.267959
502,4032,0.613837
503,4033,1.028444
504,504,1.030877
