source_vertex_id,target_vertex_id,distance
554,4197,1.832214
555,4198,2.053165
556,4320,1.798657
557,4321,1.962391
558,4325,1.480835
559,4321,2.104989
560,4327,2.674645
561,4457,2.720252
562,4326,1.896863
563,4458,3.029728
564,4459,3.326271
565,4458,3.434393
566,4461,3.946446
567,4594,4.059555
568,4593,3.698129
569,4595,3.810035
570,4599,5.276226
571,4599,4.278339
572,4596,4.150964
573,4476,3.739114
574,4603,3.311129
575,4603,4.699163
576,4603,2.590683
577,4605,3.340910
578,4476,5.188041
579,4476,5.705356
580,4469,6.529809
581,4479,7.150354
582,4356,8.836659
583,4356,9.470076
584,4359,10.240615
585,4359,10.448485
586,4487,10.511395
587,4489,10.419015
588,4361,10.014085
589,4490,10.279308
590,4361,9.664158
591,4366,9.226064
592,4315,7.971318
593,4316,6.111525
594,4316,6.920907
595,4495,8.777154
596,4126,0.071681
597,4125,0.070392
598,4127,0.069232
599,4128,0.067450
600,4129,0.065951
601,4130,0.064262
602,4131,0.066980
603,4132,0.061498
604,3697,0.430022
605,4133,0.799061
606,4134,0.922722
607,4135,0.977164
608,4136,1.040689
609,4137,1.097809
610,4138,1.161459
611,4142,1.035333
612,4143,0.579903
613,4141,1.332275
614,4263,1.104128
615,4266,0.865153
616,4265,1.290084
617,4147,0.634396
618,4265,1.332915
619,4267,1.051230
620,4148,0.057690
621,4149,0.069790
622,4150,0.048115
623,4151,0.008338
624,4152,0.028447
625,4153,0.008846
626,4154,0.006242
627,4155,0.034765
628,4156,0.103511
629,4157,0.066037
630,4158,0.131386
631,4159,0.106047
632,4160,0.176647
633,4161,0.285365
634,4162,0.228960
635,4163,0.324027
636,4164,0.507399
637,4165,0.393807
638,4166,0.560300
639,4167,0.474630
640,4168,0.599633
641,4169,0.705748
642,4170,0.803144
643,4171,0.873083
644,4172,0.920194
645,4173,1.131593
646,4174,0.987641
647,4175,1.106423
648,4180,1.180367
649,4177,1.085395
650,4296,0.673314
651,4180,0.910802
652,4180,1.086154
653,4301,1.088215
654,4303,1.102254
655,4304,1.073655
656,4306,1.113375
657,4308,0.735760
658,4430,1.352997
659,4309,1.139893
660,4311,1.022041
661,4439,2.163603
662,4297,0.296092
663,4441,2.930729
664,4576,3.153572
665,4578,3.466424
666,4447,4.922694
667,4580,3.914126
668,4318,1.927760
669,4319,1.604819
670,4450,2.346520
671,4452,2.011672
672,4454,1.810251
673,4455,2.301792
674,4456,2.126066
675,4457,2.375072
676,4457,3.075512
677,4592,3.369594
678,4458,3.687391
679,4594,3.948685
680,4719,3.893838
681,4718,3.871468
682,4598,4.749027
683,4721,3.829303
684,4726,3.762004
685,4606,5.045396
686,4606,5.163480
687,4603,4.447525
688,4729,4.371540
689,4729,3.821123
690,4725,5.333647
691,4605,5.365432
692,4476,6.847972
693,4606,6.693604
694,4600,7.412046
695,4600,7.702079
696,4479,7.728998
697,4479,7.759230
698,4479,8.432268
699,4479,8.498773
700,4485,9.379592
701,4357,9.439840
702,4357,10.190074
703,4359,10.628401
704,4487,10.700709
705,4487,10.643907
706,4490,10.430792
707,4491,9.792748
708,4490,10.298899
709,4496,9.359539
710,4496,9.068065
711,4496,9.072562
712,4449,6.992210
713,4581,8.249456
714,4579,5.602371
715,4495,8.846401
716,4245,0.070060
717,4244,0.071327
718,4246,0.068616
719,4248,0.064243
720,4247,0.066456
721,4249,0.060884
722,4250,0.058934
723,4251,0.056501
724,4253,0.056771
725,4252,0.052254
726,4254,0.047051
727,727,0.387860
728,4255,0.629502
729,4256,0.693791
730,4257,0.752940
731,4258,0.863952
732,4259,0.865139
733,4261,0.860985
734,4261,0.937041
735,4262,1.072409
736,4395,1.267702
737,4263,1.376796
738,4397,0.993360
739,4394,1.069946
740,4398,1.404231
741,4268,0.058797
742,4269,0.071288
743,4270,0.049054
744,4271,0.056819
745,4272,0.031128
746,4273,0.011562
747,4274,0.012257
748,4275,0.029399
749,4276,0.055557
750,4277,0.129475
751,4278,0.087790
752,4279,0.152115
753,4280,0.264813
754,4281,0.202025
755,4282,0.300862
756,4283,0.359103
757,4284,0.515374
758,4285,0.423738
759,4286,0.553526
760,4287,0.644417
761,4288,0.704372
762,4289,0.760540
763,4290,0.888306
764,4291,0.783819
765,4292,0.982966
766,4293,0.853676
767,4294,0.959445
768,4295,0.950651
769,4298,0.787089
770,4297,1.284193
771,4298,1.112145
772,4299,0.959525
773,4431,0.788028
774,4564,0.440320
775,4429,0.544736
776,4432,0.660968
777,4434,0.341410
778,4440,1.530061
779,4436,1.028342
780,4435,1.154391
781,4309,0.813890
782,4438,1.065376
783,4570,2.149665
784,4425,0.878537
785,4575,2.730223
786,4702,2.763886
787,4703,3.037953
788,4579,4.369327
789,4704,3.355347
790,4396,0.842026
791,4450,2.053454
792,4451,1.659268
793,4586,2.499415
794,4453,2.355148
795,4588,1.920304
796,4588,1.999219
797,4590,2.846727
798,4591,1.744018
799,4591,2.656166
800,4592,3.490743
801,4592,3.589523
802,4719,3.714094
803,4843,3.530947
804,4718,3.770790
805,4724,3.826314
806,4721,3.540264
807,4847,3.406995
808,4606,6.720759
809,4601,6.345939
810,4603,5.370493
811,4845,4.446314
812,4729,6.649154
813,4729,5.871673
814,4729,7.555774
815,4605,7.099355
816,4606,8.200990
817,4606,8.220610
818,4607,8.215565
819,4600,8.238875
820,4600,8.180878
821,4486,9.323120
822,4600,9.503805
823,4486,9.997691
824,4486,9.911140
825,4486,10.418886
826,4488,10.470323
827,4488,10.730422
828,4488,10.582068
829,4490,10.500824
830,4607,10.310177
831,4491,9.800093
832,4607,10.193662
833,4608,9.447643
834,4608,9.179375
835,4582,6.710784
836,4582,8.311294
837,4705,5.049571
838,4707,8.284285
839,4613,8.837841
840,4369,0.072474
841,4368,0.072717
842,4367,0.071561
843,4370,0.070230
844,4371,0.068402
845,4373,0.066125
846,4372,0.064130
847,4374,0.061475
848,4375,0.059286
849,4377,0.056633
850,4376,0.052876
851,4378,0.046670
852,4379,0.043587
853,4380,0.039557
854,4381,0.039858
855,4382,0.033474
856,4383,0.024091
857,4384,0.383489
858,4385,0.490749
859,4386,0.583704
860,4387,0.588324
861,4388,0.713482
862,4389,0.703323
863,4390,0.777154
864,4391,0.775564
865,4392,0.867234
866,4393,0.953489
867,4532,1.041043
868,4531,0.782837
869,4396,1.116821
870,4533,1.301531
871,4534,1.336198
872,4399,0.072629
873,4400,0.048016
874,4401,0.061642
875,4402,0.037950
876,4403,0.014327
877,4404,0.017838
878,4405,0.046615
879,4406,0.028633
880,4407,0.122871
881,4408,0.071031
882,4409,0.254985
883,4410,0.180607
884,4411,0.148710
885,4412,0.319222
886,4413,0.283505
887,4414,0.465493
888,4415,0.371488
889,4416,0.504995
890,4417,0.545849
891,4418,0.602460
892,4419,0.667549
893,4420,0.721746
894,4421,0.844014
895,4422,0.715979
896,4423,0.828169
897,4424,0.825515
898,4559,1.090776
899,4426,1.171615
900,4427,0.983866
901,4563,0.680427
902,4565,0.686888
903,4566,0.644459
904,4567,0.332723
905,4568,1.041736
906,4435,1.554716
907,4435,0.529127
908,4569,1.259736
909,4438,1.119504
910,4560,1.043392
911,4572,1.072286
912,4570,1.418644
913,4571,0.937656
914,4575,2.109065
915,4697,1.360709
916,4699,2.441669
917,4699,1.918172
918,4820,2.479343
919,4702,2.333323
920,4824,2.566056
921,4705,3.845892
922,4827,2.740491
923,4584,2.056905
924,4585,1.677355
925,4586,2.213713
926,4710,2.417079
927,4712,1.766313
928,4713,2.025812
929,4715,2.367421
930,4716,2.837661
931,4717,3.354065
932,4717,3.576506
933,4840,3.597041
934,4841,3.254813
935,4841,3.466459
936,4842,3.175597
937,4843,3.320287
938,4846,3.238719
939,4847,3.040173
940,4847,2.627880
941,4844,2.941929
942,4606,8.655715
943,4968,7.049573
944,4727,7.493807
945,4961,5.657144
946,4729,8.487687
947,4729,7.962986
948,4961,3.414402
949,4730,9.338225
950,4729,8.770785
951,4607,9.189879
952,4606,9.480959
953,4607,9.174714
954,4600,9.195093
955,4488,10.032836
956,4600,9.956647
957,4607,9.888416
958,4607,9.843261
959,4607,9.948147
960,4609,9.762960
961,4609,9.908607
962,4609,9.540945
963,4609,9.760702
964,4730,9.521409
965,4707,6.550454
966,4826,3.804726
967,4826,4.993430
968,4829,8.216618
969,4737,9.239083
970,4498,0.072623
971,4497,0.071432
972,4499,0.070258
973,4500,0.068518
974,4502,0.066540
975,4501,0.064817
976,4503,0.062919
977,4504,0.060665
978,4506,0.056604
979,4505,0.051919
980,4507,0.047515
981,4508,0.043962
982,4509,0.040935
983,4510,0.032650
984,4511,0.025414
985,4512,0.014495
986,4513,0.006070
987,4514,0.004943
988,4515,0.023523
989,4516,0.101353
990,4517,0.144416
991,4518,0.200789
992,4519,0.243613
993,4520,0.281653
994,4521,0.371756
995,4522,0.448650
996,4523,0.456401
997,4524,0.556347
998,4525,0.555932
999,4526,0.630059
1000,4527,0.614953
1001,4528,0.685485
1002,4529,0.801023
1003,4530,0.934067
1004,4531,1.310094
1005,4654,1.115993
1006,4656,1.369448
1007,4657,1.395103
1008,4535,0.075909
1009,4536,0.047883
1010,4537,0.065307
1011,4538,0.007768
1012,4539,0.025716
1013,4540,0.037271
1014,4541,0.027555
1015,4542,0.104106
1016,4543,0.047963
1017,4544,0.217582
1018,4545,0.137258
1019,4546,0.269594
1020,4547,0.416902
1021,4548,0.322876
1022,4549,0.291348
1023,4550,0.482727
1024,4551,0.459478
1025,4552,0.544081
1026,4553,0.584997
1027,4554,0.593664
1028,4555,0.714888
1029,4556,0.604287
1030,4557,0.704711
1031,4558,0.735599
1032,4684,0.725099
1033,4573,1.080854
1034,4561,1.038360
1035,4562,0.881400
1036,4563,0.772637
1037,4688,0.344426
1038,4689,0.546888
1039,4690,0.515581
1040,4691,0.362225
