source_vertex_id,distance_to_surface
549,0.224035
550,0.383768
551,0.085898
552,0.049376
553,0.282969
554,0.450048
555,0.119001
556,0.169328
557,0.212027
558,0.236760
559,0.264302
560,0.004327
561,0.111721
562,0.178962
563,0.001516
564,0.210399
565,0.104120
566,0.424826
567,0.475880
568,0.238785
569,0.315367
570,1.188052
571,0.748082
572,0.611418
573,0.773943
574,0.883023
575,1.198402
576,0.414118
577,0.043494
578,1.445727
579,2.367920
580,3.190069
581,3.754060
582,4.108067
583,4.514709
584,4.868175
585,4.810436
586,4.709996
587,4.401800
588,3.685807
589,4.134890
590,3.124125
591,2.578224
592,1.450940
593,0.542372
594,0.944209
595,1.969433
596,0.112845
597,0.105462
598,0.076594
599,0.053175
600,0.040342
601,0.055634
602,0.084547
603,0.018562
604,0.001255
605,0.060602
606,0.114608
607,0.197835
608,0.217891
609,0.216064
610,0.167421
611,0.044653
612,0.061423
613,0.141832
614,0.152260
615,0.184901
616,0.151674
617,0.133028
618,0.321080
619,0.333800
620,0.088251
621,0.093460
622,0.088553
623,0.079702
624,0.086685
625,0.064252
626,0.061432
627,0.045229
628,0.025670
629,0.049908
630,0.012328
631,0.050628
632,0.009334
633,0.027142
634,0.008527
635,0.025331
636,0.021237
637,0.005354
638,0.009883
639,0.004463
640,0.008097
641,0.108418
642,0.145538
643,0.082006
644,0.040213
645,0.210041
646,0.189240
647,0.130157
648,0.157993
649,0.133542
650,0.362352
651,0.461168
652,0.487027
653,0.574963
654,0.736677
655,0.736865
656,0.142826
657,0.421403
658,0.925583
659,0.686211
660,0.906628
661,0.778402
662,0.867640
663,0.695604
664,0.572558
665,0.394425
666,0.127447
667,0.111897
668,0.413770
669,0.594028
670,0.500318
671,0.387285
672,0.250784
673,0.520572
674,0.216694
675,0.143531
676,0.115778
677,0.024354
678,0.115335
679,0.400564
680,0.276761
681,0.161192
682,0.944578
683,0.494153
684,0.559293
685,0.598188
686,1.076241
687,0.542594
688,0.207848
689,0.209313
690,0.679951
691,0.320703
692,2.558011
693,1.840123
694,3.366928
695,3.876631
696,4.100999
697,3.981706
698,4.408446
699,4.431521
700,4.907429
701,4.757161
702,5.153243
703,5.301951
704,5.066265
705,4.917577
706,4.541982
707,3.597934
708,4.169406
709,2.961079
710,2.538985
711,2.438897
712,1.069566
713,1.505614
714,0.527289
715,1.883120
716,0.140004
717,0.148280
718,0.107831
719,0.108532
720,0.130551
721,0.084529
722,0.067823
723,0.053459
724,0.083841
725,0.076820
726,0.020924
727,0.010725
728,0.037497
729,0.076597
730,0.159357
731,0.219059
732,0.292937
733,0.280187
734,0.291375
735,0.219984
736,0.242617
737,0.245128
738,0.452099
739,0.360840
740,0.565903
741,0.092642
742,0.084623
743,0.079219
744,0.067577
745,0.066397
746,0.059567
747,0.070568
748,0.084505
749,0.104295
750,0.031944
751,0.040819
752,0.033464
753,0.013507
754,0.022759
755,0.005085
756,0.023690
757,0.026248
758,0.004834
759,0.071940
760,0.115387
761,0.158184
762,0.048934
763,0.041205
764,0.035576
765,0.122335
766,0.008522
767,0.101332
768,0.369872
769,0.650571
770,1.062015
771,0.892726
772,0.708332
773,0.413507
774,0.041074
775,0.423398
776,0.298804
777,0.369560
778,0.677798
779,0.308536
780,0.159908
781,0.653214
782,0.864885
783,0.629721
784,1.202881
785,0.532898
786,0.430599
787,0.265412
788,0.155130
789,0.061833
790,0.232448
791,0.699385
792,0.789483
793,0.637680
794,0.581839
795,0.418385
796,0.560563
797,0.198124
798,0.288933
799,0.272189
800,0.119288
801,0.016736
802,0.217848
803,0.320842
804,0.116154
805,0.619134
806,0.387177
807,0.433694
808,1.400283
809,0.582987
810,0.163442
811,0.470977
812,0.620312
813,0.326744
814,1.177806
815,1.303765
816,2.664729
817,2.852572
818,3.116060
819,3.550154
820,3.928129
821,4.878870
822,4.801129
823,5.156462
824,5.184718
825,5.333445
826,5.231199
827,5.147840
828,4.934699
829,4.678200
830,4.417550
831,3.480766
832,3.945407
833,2.862120
834,2.269521
835,0.983608
836,1.439613
837,0.513848
838,1.342685
839,1.662348
840,0.246295
841,0.203350
842,0.186542
843,0.160975
844,0.163886
845,0.190756
846,0.166471
847,0.138434
848,0.117973
849,0.141524
850,0.093080
851,0.099825
852,0.089134
853,0.033313
854,0.105465
855,0.069457
856,0.016292
857,0.002947
858,0.036149
859,0.098244
860,0.174657
861,0.268141
862,0.356060
863,0.366723
864,0.370200
865,0.312816
866,0.269211
867,0.434258
868,0.334814
869,0.284435
870,0.601554
871,0.680563
872,0.081150
873,0.078107
874,0.084220
875,0.082606
876,0.081204
877,0.073297
878,0.017396
879,0.062272
880,0.013445
881,0.040029
882,0.041456
883,0.067003
884,0.034265
885,0.050257
886,0.042285
887,0.036444
888,0.049669
889,0.107663
890,0.156328
891,0.126053
892,0.083475
893,0.017675
894,0.090694
895,0.110619
896,0.286762
897,0.569983
898,1.371166
