source_vertex_id,distance_to_surface
562,0.202579
563,0.001780
564,0.235114
565,0.118121
566,0.491773
567,0.553660
568,0.271614
569,0.365737
570,1.378234
571,0.869387
572,0.711615
573,0.887820
574,0.960265
575,1.375478
576,0.374452
577,0.050966
578,1.674745
579,2.692278
580,3.573155
581,4.329583
582,4.994718
583,5.386744
584,5.728794
585,5.635227
586,5.511243
587,5.151580
588,4.298062
589,4.782204
590,3.648691
591,3.019005
592,1.707331
593,0.650055
594,1.114892
595,2.305207
596,0.116001
597,0.107322
598,0.074451
599,0.047724
600,0.033230
601,0.051156
602,0.083996
603,0.008884
604,0.008108
605,0.085568
606,0.151106
607,0.236468
608,0.269062
609,0.243404
610,0.209574
611,0.063795
612,0.044666
613,0.178090
614,0.149769
615,0.205449
616,0.158512
617,0.132975
618,0.336228
619,0.339468
620,0.118121
621,0.149926
622,0.115849
623,0.113693
624,0.117302
625,0.095770
626,0.096249
627,0.071603
628,0.047561
629,0.073248
630,0.031778
631,0.078424
632,0.006698
633,0.006144
634,0.021101
635,0.011214
636,0.004899
637,0.006225
638,0.004604
639,0.013208
640,0.010877
641,0.102014
642,0.144625
643,0.081272
644,0.052375
645,0.271036
646,0.231504
647,0.177646
648,0.153040
649,0.108332
650,0.358711
651,0.484130
652,0.503726
653,0.614686
654,0.798852
655,0.777758
656,0.177299
657,0.452741
658,0.960570
659,0.734803
660,0.965009
661,0.920075
662,0.916861
663,0.811850
664,0.663844
665,0.451103
666,0.165252
667,0.118055
668,0.401589
669,0.597092
670,0.503931
671,0.424040
672,0.285947
673,0.591282
674,0.247128
675,0.168045
676,0.133653
677,0.029149
678,0.131213
679,0.465864
680,0.322179
681,0.187623
682,1.099244
683,0.574856
684,0.649805
685,0.814623
686,1.276414
687,0.631785
688,0.148995
689,0.231917
690,0.805828
691,0.528055
692,2.988474
693,2.311080
694,3.899827
695,4.417891
696,4.707642
697,4.667771
698,5.184115
699,5.119220
700,5.806595
701,5.647469
702,6.091060
703,6.145339
704,5.933073
705,5.699446
706,5.282749
707,4.171795
708,4.788947
709,3.431394
710,2.964662
711,2.845683
712,1.259735
